,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,Supply
150,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
151,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
152,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
153,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
154,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
155,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
156,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
157,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
158,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
159,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
160,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
161,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
162,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
163,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
164,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
165,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
166,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
167,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
168,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
169,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
170,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
171,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
172,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
173,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
174,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
175,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
176,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
177,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
178,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
179,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
180,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
181,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
182,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
183,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
184,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
185,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
186,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
187,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
188,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
189,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
190,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
191,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
192,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
193,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
194,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
195,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
196,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
197,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
198,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
199,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
200,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
201,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
202,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
203,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
204,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
205,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
206,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
207,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
208,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
209,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
210,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
211,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
212,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
213,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
214,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
215,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
216,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
217,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
218,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
219,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
220,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
221,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,5,1,8,7,5,15
222,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,3,9,6,7,8,25
223,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,4,2,7,6,5,42
224,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,7,11,10,4,9,35
